ccd_count clocking datestart             datestop              dec             dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1                 q2               q3               q4                ra            roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board
4         0        2017:036:21:35:38.604 2017:036:21:37:25.289 -47.4142637627  ENAB   4         RETR RETR 19004 NMAN      65.80  AA00000000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 clocking,pcad_mode,power_cmd,simpos              602717807.79 602717914.47 1        
4         0        2017:036:21:37:25.289 2017:036:21:38:38.604 -47.4142637627  ENAB   4         RETR RETR 19004 NMAN      65.88  AA00000000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602717914.47 602717987.79 1        
4         0        2017:036:21:38:38.604 2017:036:21:41:15.038 -47.4142637627  ENAB   4         RETR RETR 50328 NMAN      65.88  AA00000000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 obsid                                            602717987.79 602718144.22 1        
4         0        2017:036:21:41:15.038 2017:036:21:41:19.038 -47.4142637627  ENAB   4         RETR RETR 50328 NMAN      65.88  AA00000000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 clocking,power_cmd                               602718144.22 602718148.22 1        
4         0        2017:036:21:41:19.038 2017:036:21:41:23.038 -47.4142637627  ENAB   4         RETR RETR 50328 NMAN      65.88  AA00000000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 clocking,power_cmd                               602718148.22 602718152.22 1        
0         0        2017:036:21:41:23.038 2017:036:21:41:25.289 -47.4142637627  ENAB   0         RETR RETR 50328 NMAN      65.88  WSPOW00000 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 602718152.22 602718154.47 1        
0         0        2017:036:21:41:25.289 2017:036:21:41:47.038 -47.415239181   ENAB   0         RETR RETR 50328 NPNT      65.88  WSPOW00000 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00958 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602718154.47 602718176.22 1        
6         0        2017:036:21:41:47.038 2017:036:21:42:54.038 -47.415239181   ENAB   6         RETR RETR 50328 NPNT      65.88  WSPOW0AF3F 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00958 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 602718176.22 602718243.22 1        
6         0        2017:036:21:42:54.038 2017:036:21:42:58.038 -47.415239181   ENAB   6         RETR RETR 50328 NPNT      65.88  WSPOW0AF3F 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00B26 -468      -99616 si_mode                                          602718243.22 602718247.22 1        
6         1        2017:036:21:42:58.038 2017:036:21:52:19.165 -47.415239181   ENAB   6         RETR RETR 50328 NPNT      65.88  XTZ0000005 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00B26 -468      -99616 clocking,power_cmd                               602718247.22 602718808.35 1        
6         1        2017:036:21:52:19.165 2017:036:21:52:29.416 -47.415239181   ENAB   6         RETR RETR 50327 NMAN      65.88  XTZ0000005 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00B26 -468      -99616 obsid,pcad_mode                                  602718808.35 602718818.60 1        
6         1        2017:036:21:52:29.416 2017:036:21:57:16.048 -47.415239181   ENAB   6         RETR RETR 50327 NMAN      67.81  XTZ0000005 0.60289642         -0.394368698     -0.684319823     0.112674828       248.533078987 93.2210503828 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602718818.60 602719105.23 1        
6         1        2017:036:21:57:16.048 2017:036:22:02:02.681 -46.0390241371  ENAB   6         RETR RETR 50327 NMAN      76.49  XTZ0000005 0.575190785134     -0.409050511269  -0.700544124351  0.105219627401    242.905195557 89.6973719186 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602719105.23 602719391.87 1        
6         1        2017:036:22:02:02.681 2017:036:22:06:49.313 -39.6874974527  ENAB   6         RETR RETR 50327 NMAN      93.41  XTZ0000005 0.473620882473     -0.455693744033  -0.749587845115  0.0783870781258   225.531256702 79.8166923627 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602719391.87 602719678.50 1        
6         1        2017:036:22:06:49.313 2017:036:22:11:35.945 -27.2960936781  ENAB   6         RETR RETR 50327 NMAN      113.95 XTZ0000005 0.309663033505     -0.511634327181  -0.800632851147  0.0364164636016   204.973099391 71.3159280513 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602719678.50 602719965.13 1        
6         1        2017:036:22:11:35.945 2017:036:22:16:22.577 -13.1555919774  ENAB   6         RETR RETR 50327 NMAN      134.54 XTZ0000005 -0.13321971888     0.550285034268   0.824248908895   0.00725423837791  187.948811582 68.3737707265 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602719965.13 602720251.76 1        
6         1        2017:036:22:16:22.577 2017:036:22:21:09.210 1.04362645321   ENAB   6         RETR RETR 50327 NMAN      151.54 XTZ0000005 0.046042996226     0.569528469945   0.819142263739   0.0502326229066   172.255068357 69.6904296712 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602720251.76 602720538.39 1        
6         1        2017:036:22:21:09.210 2017:036:22:25:55.842 10.1633636989   ENAB   6         RETR RETR 50327 NMAN      160.18 XTZ0000005 0.166256969102     0.57146799946    0.799783208689   0.0782928166807   161.320063371 72.7696581398 TE_00B26 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    602720538.39 602720825.03 1        
6         1        2017:036:22:25:55.842 2017:036:23:01:35.038 12.667697037    ENAB   6         RETR RETR 50327 NPNT      162.06 XTZ0000005 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602720825.03 602722964.22 1        
6         0        2017:036:23:01:35.038 2017:036:23:04:35.038 12.667697037    ENAB   6         RETR RETR 50327 NPNT      162.06 AA00000000 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 clocking,power_cmd                               602722964.22 602723144.22 1        
6         0        2017:036:23:04:35.038 2017:036:23:04:44.038 12.667697037    ENAB   6         RETR RETR 50327 NPNT      162.06 AA00000000 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 clocking,power_cmd                               602723144.22 602723153.22 1        
6         0        2017:036:23:04:44.038 2017:036:23:06:49.314 12.667697037    ENAB   6         RETR RETR 50327 NPNT      162.06 WSVIDALLDN 0.200545281        0.570366241      0.791856488      0.0861814628      158.014745978 74.0000000481 TE_00B26 -468      -99616 power_cmd,vid_board                              602723153.22 602723278.50 0        
